Postition in as		Voltage		Time
0.0		0.376654052734375		Tue Oct 15 12:30:51 2019
-50.0		0.2959716796875		Tue Oct 15 12:30:59 2019
-100.0		0.2126953125		Tue Oct 15 12:31:07 2019
-150.0		0.1419189453125		Tue Oct 15 12:31:15 2019
-200.0		0.088470458984375		Tue Oct 15 12:31:23 2019
-250.0		0.057476806640625		Tue Oct 15 12:31:32 2019
-300.0		0.048748779296875		Tue Oct 15 12:31:40 2019
-350.0		0.06373291015625		Tue Oct 15 12:31:48 2019
-400.0		0.100103759765625		Tue Oct 15 12:31:56 2019
-450.0		0.1562744140625		Tue Oct 15 12:32:04 2019
-500.0		0.233148193359375		Tue Oct 15 12:32:12 2019
-550.0		0.314324951171875		Tue Oct 15 12:32:21 2019
-600.0		0.40108642578125		Tue Oct 15 12:32:29 2019
-650.0		0.49901123046875		Tue Oct 15 12:32:37 2019
-700.0		0.582464599609375		Tue Oct 15 12:32:45 2019
-750.0		0.663189697265625		Tue Oct 15 12:32:53 2019
-800.0		0.7390380859375		Tue Oct 15 12:33:02 2019
-850.0		0.78138427734375		Tue Oct 15 12:33:10 2019
-900.0		0.806195068359375		Tue Oct 15 12:33:18 2019
-950.0		0.823638916015625		Tue Oct 15 12:33:26 2019
-1000.0		0.817864990234375		Tue Oct 15 12:33:34 2019
-1050.0		0.78662109375		Tue Oct 15 12:33:43 2019
-1100.0		0.748193359375		Tue Oct 15 12:33:50 2019
-1150.0		0.673529052734375		Tue Oct 15 12:33:58 2019
-1200.0		0.603680419921875		Tue Oct 15 12:34:07 2019
-1250.0		0.524310302734375		Tue Oct 15 12:34:15 2019
-1300.0		0.436334228515625		Tue Oct 15 12:34:23 2019
-1350.0		0.362005615234375		Tue Oct 15 12:34:31 2019
-1400.0		0.284674072265625		Tue Oct 15 12:34:40 2019
-1450.0		0.213385009765625		Tue Oct 15 12:34:48 2019
-1500.0		0.15162353515625		Tue Oct 15 12:34:56 2019
-1500.0		0.15103759765625		Tue Oct 15 12:35:05 2019
-1450.0		0.209649658203125		Tue Oct 15 12:35:13 2019
-1400.0		0.280694580078125		Tue Oct 15 12:35:21 2019
-1350.0		0.369146728515625		Tue Oct 15 12:35:29 2019
-1300.0		0.442529296875		Tue Oct 15 12:35:37 2019
-1250.0		0.52086181640625		Tue Oct 15 12:35:45 2019
-1200.0		0.60977783203125		Tue Oct 15 12:35:54 2019
-1150.0		0.67548828125		Tue Oct 15 12:36:02 2019
-1100.0		0.7367919921875		Tue Oct 15 12:36:10 2019
-1050.0		0.787213134765625		Tue Oct 15 12:36:18 2019
-1000.0		0.801080322265625		Tue Oct 15 12:36:26 2019
-950.0		0.8240966796875		Tue Oct 15 12:36:35 2019
-900.0		0.81142578125		Tue Oct 15 12:36:43 2019
-850.0		0.77725830078125		Tue Oct 15 12:36:51 2019
-800.0		0.7244384765625		Tue Oct 15 12:36:59 2019
-750.0		0.679412841796875		Tue Oct 15 12:37:07 2019
-700.0		0.589801025390625		Tue Oct 15 12:37:16 2019
-650.0		0.503936767578125		Tue Oct 15 12:37:24 2019
-600.0		0.498614501953125		Tue Oct 15 12:37:32 2019
-550.0		0.416552734375		Tue Oct 15 12:37:40 2019
-500.0		0.329345703125		Tue Oct 15 12:37:48 2019
-450.0		0.2551025390625		Tue Oct 15 12:37:56 2019
-400.0		0.188824462890625		Tue Oct 15 12:38:04 2019
-350.0		0.1513671875		Tue Oct 15 12:38:13 2019
-300.0		0.131439208984375		Tue Oct 15 12:38:21 2019
-250.0		0.1353271484375		Tue Oct 15 12:38:29 2019
-200.0		0.1646484375		Tue Oct 15 12:38:37 2019
-150.0		0.216326904296875		Tue Oct 15 12:38:46 2019
-100.0		0.282666015625		Tue Oct 15 12:38:54 2019
-50.0		0.360638427734375		Tue Oct 15 12:39:02 2019
0.0		0.45462646484375		Tue Oct 15 12:39:10 2019
50.0		0.535833740234375		Tue Oct 15 12:39:18 2019
100.0		0.621795654296875		Tue Oct 15 12:39:26 2019
150.0		0.712872314453125		Tue Oct 15 12:39:35 2019
200.0		0.787750244140625		Tue Oct 15 12:39:43 2019
250.0		0.828826904296875		Tue Oct 15 12:39:51 2019
300.0		0.88260498046875		Tue Oct 15 12:39:59 2019
350.0		0.903326416015625		Tue Oct 15 12:40:08 2019
400.0		0.914056396484375		Tue Oct 15 12:40:16 2019
450.0		0.913641357421875		Tue Oct 15 12:40:24 2019
500.0		0.879022216796875		Tue Oct 15 12:40:32 2019
550.0		0.839019775390625		Tue Oct 15 12:40:41 2019
600.0		0.778887939453125		Tue Oct 15 12:40:49 2019
650.0		0.713909912109375		Tue Oct 15 12:40:57 2019
700.0		0.624261474609375		Tue Oct 15 12:41:05 2019
750.0		0.54857177734375		Tue Oct 15 12:41:13 2019
800.0		0.461517333984375		Tue Oct 15 12:41:21 2019
850.0		0.37760009765625		Tue Oct 15 12:41:29 2019
900.0		0.30992431640625		Tue Oct 15 12:41:37 2019
950.0		0.24105224609375		Tue Oct 15 12:41:46 2019
1000.0		0.185498046875		Tue Oct 15 12:41:54 2019
1050.0		0.148431396484375		Tue Oct 15 12:42:02 2019
1100.0		0.12789306640625		Tue Oct 15 12:42:10 2019
1150.0		0.12889404296875		Tue Oct 15 12:42:18 2019
1200.0		0.14559326171875		Tue Oct 15 12:42:27 2019
1250.0		0.187445068359375		Tue Oct 15 12:42:35 2019
1300.0		0.241864013671875		Tue Oct 15 12:42:44 2019
1350.0		0.318243408203125		Tue Oct 15 12:42:52 2019
1400.0		0.406414794921875		Tue Oct 15 12:43:00 2019
1450.0		0.497698974609375		Tue Oct 15 12:43:08 2019
1500.0		0.600238037109375		Tue Oct 15 12:43:16 2019
1500.0		0.59447021484375		Tue Oct 15 12:43:24 2019
1450.0		0.502166748046875		Tue Oct 15 12:43:32 2019
1400.0		0.410003662109375		Tue Oct 15 12:43:41 2019
1350.0		0.316741943359375		Tue Oct 15 12:43:49 2019
1300.0		0.246551513671875		Tue Oct 15 12:43:57 2019
1250.0		0.186370849609375		Tue Oct 15 12:44:05 2019
1200.0		0.146966552734375		Tue Oct 15 12:44:13 2019
1150.0		0.127227783203125		Tue Oct 15 12:44:22 2019
1100.0		0.127435302734375		Tue Oct 15 12:44:30 2019
1050.0		0.152020263671875		Tue Oct 15 12:44:38 2019
1000.0		0.18614501953125		Tue Oct 15 12:44:46 2019
950.0		0.239111328125		Tue Oct 15 12:44:54 2019
900.0		0.316973876953125		Tue Oct 15 12:45:02 2019
850.0		0.40084228515625		Tue Oct 15 12:45:11 2019
800.0		0.46734619140625		Tue Oct 15 12:45:19 2019
750.0		0.553277587890625		Tue Oct 15 12:45:27 2019
700.0		0.62498779296875		Tue Oct 15 12:45:35 2019
650.0		0.713519287109375		Tue Oct 15 12:45:43 2019
600.0		0.7923095703125		Tue Oct 15 12:45:52 2019
550.0		0.8312744140625		Tue Oct 15 12:46:00 2019
500.0		0.890557861328125		Tue Oct 15 12:46:08 2019
450.0		0.907476806640625		Tue Oct 15 12:46:16 2019
400.0		0.926263427734375		Tue Oct 15 12:46:24 2019
350.0		0.896435546875		Tue Oct 15 12:46:32 2019
300.0		0.88226318359375		Tue Oct 15 12:46:41 2019
250.0		0.841558837890625		Tue Oct 15 12:46:49 2019
200.0		0.785247802734375		Tue Oct 15 12:46:57 2019
150.0		0.6998779296875		Tue Oct 15 12:47:05 2019
100.0		0.626947021484375		Tue Oct 15 12:47:13 2019
50.0		0.524114990234375		Tue Oct 15 12:47:21 2019
0.0		0.436602783203125		Tue Oct 15 12:47:29 2019
-50.0		0.35272216796875		Tue Oct 15 12:47:38 2019
-100.0		0.27581787109375		Tue Oct 15 12:47:46 2019
-150.0		0.20823974609375		Tue Oct 15 12:47:54 2019
-200.0		0.16485595703125		Tue Oct 15 12:48:02 2019
-250.0		0.137847900390625		Tue Oct 15 12:48:10 2019
-300.0		0.13565673828125		Tue Oct 15 12:48:19 2019
-350.0		0.155267333984375		Tue Oct 15 12:48:27 2019
-400.0		0.199993896484375		Tue Oct 15 12:48:35 2019
-450.0		0.25733642578125		Tue Oct 15 12:48:43 2019
-500.0		0.344195556640625		Tue Oct 15 12:48:52 2019
-550.0		0.427020263671875		Tue Oct 15 12:49:00 2019
-600.0		0.512408447265625		Tue Oct 15 12:49:08 2019
-650.0		0.60433349609375		Tue Oct 15 12:49:16 2019
-700.0		0.695709228515625		Tue Oct 15 12:49:24 2019
-750.0		0.769696044921875		Tue Oct 15 12:49:32 2019
-800.0		0.83564453125		Tue Oct 15 12:49:41 2019
-850.0		0.86708984375		Tue Oct 15 12:49:49 2019
-900.0		0.90828857421875		Tue Oct 15 12:49:57 2019
-950.0		0.89365234375		Tue Oct 15 12:50:05 2019
-1000.0		0.8943115234375		Tue Oct 15 12:50:14 2019
-1050.0		0.851708984375		Tue Oct 15 12:50:22 2019
-1100.0		0.81307373046875		Tue Oct 15 12:50:30 2019
-1150.0		0.73687744140625		Tue Oct 15 12:50:38 2019
-1200.0		0.657861328125		Tue Oct 15 12:50:46 2019
-1250.0		0.581121826171875		Tue Oct 15 12:50:55 2019
-1300.0		0.50452880859375		Tue Oct 15 12:51:03 2019
-1350.0		0.410040283203125		Tue Oct 15 12:51:11 2019
-1400.0		0.3362548828125		Tue Oct 15 12:51:19 2019
-1450.0		0.27711181640625		Tue Oct 15 12:51:28 2019
-1500.0		0.22037353515625		Tue Oct 15 12:51:35 2019
-1500.0		0.223809814453125		Tue Oct 15 12:51:44 2019
-1450.0		0.276031494140625		Tue Oct 15 12:51:52 2019
-1400.0		0.343072509765625		Tue Oct 15 12:52:00 2019
-1350.0		0.331561279296875		Tue Oct 15 12:52:09 2019
-1300.0		0.417657470703125		Tue Oct 15 12:52:17 2019
-1250.0		0.510919189453125		Tue Oct 15 12:52:25 2019
-1200.0		0.589190673828125		Tue Oct 15 12:52:33 2019
-1150.0		0.65899658203125		Tue Oct 15 12:52:41 2019
-1100.0		0.7244384765625		Tue Oct 15 12:52:50 2019
-1050.0		0.758197021484375		Tue Oct 15 12:52:58 2019
-1000.0		0.800946044921875		Tue Oct 15 12:53:06 2019
-950.0		0.813323974609375		Tue Oct 15 12:53:14 2019
-900.0		0.805230712890625		Tue Oct 15 12:53:22 2019
-850.0		0.788983154296875		Tue Oct 15 12:53:30 2019
-800.0		0.741473388671875		Tue Oct 15 12:53:39 2019
-750.0		0.6778076171875		Tue Oct 15 12:53:47 2019
-700.0		0.6010498046875		Tue Oct 15 12:53:55 2019
-650.0		0.518975830078125		Tue Oct 15 12:54:03 2019
-600.0		0.42752685546875		Tue Oct 15 12:54:11 2019
-550.0		0.340814208984375		Tue Oct 15 12:54:20 2019
-500.0		0.247705078125		Tue Oct 15 12:54:28 2019
-450.0		0.16470947265625		Tue Oct 15 12:54:36 2019
-400.0		0.110723876953125		Tue Oct 15 12:54:44 2019
-350.0		0.067633056640625		Tue Oct 15 12:54:52 2019
-300.0		0.04923095703125		Tue Oct 15 12:55:00 2019
-250.0		0.05189208984375		Tue Oct 15 12:55:08 2019
-200.0		0.078369140625		Tue Oct 15 12:55:16 2019
-150.0		0.123248291015625		Tue Oct 15 12:55:24 2019
-100.0		0.192169189453125		Tue Oct 15 12:55:33 2019
